"happy" "gender" "workhrs" "relationship"
6 1 18 4
9 1 26 10
4 0 30 6
7 1 13 5
9 1 27 10
6 1 27 5
4 0 22 2
7 0 22 10
5 0 22 6
8 1 20 8
9 1 22 10
5 0 20 7
5 0 21 5
5 1 25 5
3 1 29 2
4 1 24 2
4 1 22 2
6 1 20 5
4 0 20 4
7 1 37 9
4 0 25 2
6 0 22 9
5 0 22 4
3 0 27 2
4 0 21 4
4 0 17 4
6 1 27 5
4 0 19 2
7 1 24 7
7 0 20 10
7 1 30 8
8 1 22 9
6 0 21 10
4 1 22 2
6 1 16 5
4 0 19 4
5 1 14 4
3 0 18 1
6 0 23 10
6 1 22 5
6 0 32 10
4 0 19 3
5 0 20 6
9 1 23 10
6 1 20 4
4 0 20 4
4 1 19 1
7 1 18 7
9 1 22 10
4 1 22 1
5 1 15 3
8 1 22 8
4 0 19 2
6 0 19 8
6 0 24 10
8 1 27 10
4 0 33 6
5 0 21 8
5 1 33 5
8 1 19 8
3 1 28 1
4 0 37 6
6 1 24 5
4 0 21 4
6 0 24 9
5 0 33 10
7 1 19 7
3 0 31 3
5 0 31 9
8 1 26 8
6 0 25 10
5 1 22 3
6 0 23 9
6 1 28 5
4 0 35 4
5 1 24 4
8 1 18 8
4 1 21 2
4 0 26 5
5 0 23 7
3 0 24 3
4 0 24 3
4 1 18 1
4 1 24 2
4 1 29 3
3 0 28 2
5 0 27 7
3 0 22 2
8 1 24 10
9 1 19 10
7 1 24 7
5 0 26 8
6 1 33 8
5 0 30 7
4 1 22 2
9 1 26 10
6 1 19 6
4 0 29 6
3 1 29 1
3 0 35 4
